Index,MunicipalityCode,Name,Lat,Long,GroupCode,CountyCode
1,1440,Ale,12.23068567,57.96704536,A2,14
2,1489,Alingsås,12.53529027,57.98712509,A2,14
3,764,Alvesta,14.49531663,56.8495558,B4,7
4,604,Aneby,14.79579975,57.86510217,B4,6
5,1984,Arboga,15.78516339,59.3547078,C7,19
6,2506,Arjeplog,17.23901773,66.36450034,C9,25
7,2505,Arvidsjaur,19.25888359,65.68397217,C8,25
8,1784,Arvika,12.6298748,59.68609018,C8,17
9,1882,Askersund,14.95311936,58.85310662,B5,18
10,2084,Avesta,16.36480042,60.21369149,C6,20
11,1460,Bengtsfors,12.20276317,59.03446276,C8,14
12,2326,Berg,13.78375629,62.769059,B5,23
13,2403,Bjurholm,18.99187079,63.94649597,B4,24
14,1260,Bjuv,12.96667097,56.0535722,B4,12
15,2582,Boden,21.34193459,66.06131534,B5,25
16,1443,Bollebygd,12.61943327,57.73824037,A2,14
17,2183,Bollnäs,16.37797212,61.3125813,C8,21
18,885,Borgholm,17.04319421,57.06091601,C9,8
19,2081,Borlänge,15.36001881,60.45024288,B3,20
20,1490,Borås,12.94110732,57.73230334,B3,14
21,127,Botkyrka,17.820371,59.15931265,A2,1
22,560,Boxholm,15.12191198,58.14236136,C7,5
23,1272,Bromölla,14.49587794,56.12515625,C7,12
24,2305,Bräcke,15.59610091,62.85680819,B5,23
25,1231,Burlöv,13.09439944,55.63352494,A2,12
26,1278,Båstad,12.59715476,56.44985807,C9,12
27,1438,Dals-Ed,11.8857356,58.9643716,C8,14
28,162,Danderyd,18.05477142,59.40617295,A2,1
29,1862,Degerfors,14.42351554,59.16240415,C7,18
30,2425,Dorotea,15.90921174,64.52118471,C8,24
31,1730,Eda,12.19289709,59.79676311,C9,17
32,125,Ekerö,17.6487165,59.35234253,A2,1
33,686,Eksjö,15.20936319,57.6189983,C7,6
34,862,Emmaboda,15.553802,56.63586422,C7,8
35,381,Enköping,17.14272811,59.66349764,B5,3
36,484,Eskilstuna,16.42407112,59.31828738,B3,4
37,1285,Eslöv,13.3677019,55.83606381,B4,12
38,1445,Essunga,12.74630732,58.18710662,C7,14
39,1982,Fagersta,15.8869629,59.94741017,C7,19
40,1382,Falkenberg,12.5761458,56.9696812,C6,13
41,1499,Falköping,13.54992996,58.14457103,C6,14
42,2080,Falun,15.84373707,60.75019144,C6,20
43,1782,Filipstad,14.15327865,59.852517,C8,17
44,562,Finspång,15.77653477,58.80470115,B5,5
45,482,Flen,16.70230286,59.06547526,B5,4
46,1763,Forshaga,13.50832929,59.6509842,B4,17
47,1439,Färgelanda,12.01525347,58.63074183,B4,14
48,2026,Gagnef,14.89595549,60.47601495,B4,20
49,662,Gislaved,13.50775703,57.25404312,C8,6
50,461,Gnesta,17.14910924,59.08208702,B4,4
51,617,Gnosjö,13.8049032,57.35610434,C7,6
52,980,Gotland,18.68776291,57.61483435,C6,9
53,1764,Grums,13.01579321,59.39083789,B4,17
54,1444,Grästorp,12.66044173,58.32992287,B4,14
55,1447,Gullspång,14.10037025,58.94644289,C7,14
