MunicipalityCode,AgeGroup,Count
1440,Ald0_5,2485
1440,Ald6_9,1761
1440,Ald10_15,2394
1440,Ald16_19,1479
1440,Ald20_24,1657
1440,Ald25_29,1969
1440,Ald30_34,1988
1440,Ald35_39,2051
1440,Ald40_44,2245
1440,Ald45_49,2175
1440,Ald50_54,2125
1440,Ald55_59,1701
1440,Ald60_64,1431
1440,Ald65_69,1448
1440,Ald70_74,1637
1440,Ald75_79,1156
1440,Ald80_w,1208
1489,Ald0_5,2901
1489,Ald6_9,2119
1489,Ald10_15,3065
1489,Ald16_19,1777
1489,Ald20_24,2187
1489,Ald25_29,2569
1489,Ald30_34,2459
1489,Ald35_39,2393
1489,Ald40_44,2549
1489,Ald45_49,2646
1489,Ald50_54,2603
1489,Ald55_59,2299
1489,Ald60_64,2389
1489,Ald65_69,2385
1489,Ald70_74,2540
1489,Ald75_79,1806
1489,Ald80_w,2345
764,Ald0_5,1609
764,Ald6_9,1056
764,Ald10_15,1551
764,Ald16_19,959
764,Ald20_24,936
764,Ald25_29,1153
764,Ald30_34,1215
764,Ald35_39,1149
764,Ald40_44,1270
764,Ald45_49,1118
764,Ald50_54,1276
764,Ald55_59,1167
764,Ald60_64,1187
764,Ald65_69,1278
764,Ald70_74,1144
764,Ald75_79,824
764,Ald80_w,1233
604,Ald0_5,528
604,Ald6_9,344
604,Ald10_15,447
604,Ald16_19,310
604,Ald20_24,327
604,Ald25_29,455
604,Ald30_34,406
604,Ald35_39,351
604,Ald40_44,361
604,Ald45_49,361
604,Ald50_54,476
604,Ald55_59,446
604,Ald60_64,514
604,Ald65_69,429
604,Ald70_74,399
604,Ald75_79,294
604,Ald80_w,382
1984,Ald0_5,913
1984,Ald6_9,589
1984,Ald10_15,903
1984,Ald16_19,686
1984,Ald20_24,770
1984,Ald25_29,887
1984,Ald30_34,747
1984,Ald35_39,718
1984,Ald40_44,734
1984,Ald45_49,823
1984,Ald50_54,1000
1984,Ald55_59,939
1984,Ald60_64,821
1984,Ald65_69,877
1984,Ald70_74,1026
1984,Ald75_79,769
1984,Ald80_w,913
2506,Ald0_5,145
2506,Ald6_9,116
2506,Ald10_15,148
2506,Ald16_19,111
2506,Ald20_24,125
2506,Ald25_29,139
2506,Ald30_34,173
2506,Ald35_39,142
2506,Ald40_44,130
2506,Ald45_49,163
2506,Ald50_54,213
2506,Ald55_59,186
2506,Ald60_64,218
2506,Ald65_69,178
2506,Ald70_74,220
2506,Ald75_79,162
2506,Ald80_w,224
2505,Ald0_5,391
2505,Ald6_9,248
2505,Ald10_15,384
2505,Ald16_19,260
2505,Ald20_24,300
2505,Ald25_29,433
2505,Ald30_34,344
2505,Ald35_39,323
2505,Ald40_44,329
2505,Ald45_49,334
2505,Ald50_54,409
2505,Ald55_59,427
2505,Ald60_64,440
2505,Ald65_69,422
2505,Ald70_74,441
2505,Ald75_79,358
2505,Ald80_w,489
